职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
Python开发（接受无经验）,本科,经验不限,华为软件,成都,郫都区,红光镇,"['Java', 'C++', '机器学习经验', 'Python']",[]
python后台开发,本科,3-5年,佳邦咨询,成都,武侯区,双楠,"['Pandas', '封装调用', '数据处理', 'Python']","['交通补助', '节日福利', '通讯补贴', '员工旅游', '五险一金', '带薪年假', '定期体检']"
python讲师（学员稳定/高薪）,本科,经验不限,成都燃点未来教育咨询,成都,武侯区,中和,"['python讲师', 'Django', 'PostgreSQL', 'MySQL', 'Redis', 'MongoDB', '可兼职', 'Python', 'Flask']","['带薪年假', '工龄奖', '夜班补助', '年终奖', '节日福利', '加班补助', '法定节假日三薪', '股票期权', '绩效奖金', '底薪加提成', '意外险', '团建聚餐', '生日福利', '员工旅游', '免费班车', '全勤奖', '保底工资', '节假日加班费', '交通补助', '五险一金']"
python,本科,,蜀俊博凌,成都,,,"['Docker', 'MySQL', 'Redis', 'Python']",['五险一金']
python实习生,本科,,标签墙,成都,武侯区,中和,"['Python', 'Tornado', 'Numpy', 'TensorFlow', 'MySQL', '运维开发经验', '机器学习经验']","['餐补', '员工旅游', '年终奖', '零食下午茶', '交通补助', '节日福利', '住房补贴', '股票期权']"
Python（2-6个月周期，可以线上）,大专,3-5年,智菲,成都,武侯区,紫荆,"['Python', 'Flask', 'MySQL', 'Redis', '机器学习经验']","['节日福利', '全勤奖', '年终奖', '带薪年假', '定期体检', '生日福利', '五险一金', '团建聚餐', '交通补助', '员工旅游', '工龄奖', '绩效奖金', '零食下午茶']"
Python开发（外派大厂）,大专,经验不限,博彦科技,成都,武侯区,中和,"['Python', 'PyTorch', 'MySQL']","['定期体检', '节日福利', '免费班车', '年终奖', '带薪年假', '五险一金']"
兼职远程•python程序员,大专,1-3年,踏日科技,成都,成华区,建设路,"['Python', 'PyTorch', 'MySQL', '爬虫经验']","['补充医疗保险', '加班补助', '全勤奖', '底薪加提成', '保底工资', '团建聚餐']"
高级量化工程师(Python),本科,经验不限,戴苍科技,成都,武侯区,成都高新区,"['Docker', 'MySQL', 'Redis', '架构设计经验', '量化交易开发经验', 'Python']","['节日福利', '团建聚餐', '有无线网', '带薪年假', '五险一金', '绩效奖金', '底薪加提成']"
java/C++/C/python/go/JS 开发/测试/大数据,本科,经验不限,西安华为技术有限公司,成都,郫都区,红光镇,"['C++', 'Python', 'Java', 'Spring', 'MySQL', '不接受居家办公', '云计算经验', '分布式经验', '数据结构', '算法']","['团建聚餐', '包吃', '年终奖', '餐补', '交通补助', '零食下午茶', '五险一金', '加班补助', '全勤奖', '定期体检', '绩效奖金']"
python(AI数据标注),大专,1-3年,软通动力,成都,武侯区,中和,"['Python', 'C++', 'C']","['补充医疗保险', '节日福利', '免费班车', '加班补助', '零食下午茶', '五险一金', '通讯补贴', '带薪年假', '团建活动', '生日福利', '定期体检', '交通补助']"
python实习生,本科,,成都宇图云析智竞,成都,锦江区,琉璃场,"['机器学习经验', 'Redis', '爬虫经验', '接受实习/在校生投递', 'PyTorch', 'Docker', '微服务经验', 'Pandas', 'MySQL', '运维开发经验', 'Selenium', '量化交易开发经验', 'Python', 'TensorFlow']",[]
python开发（双休，14-16薪）,本科,1-3年,某大型互联网公司,成都,,,"['Python', 'C++', 'C', 'Django', 'Flask', 'Tornado', 'MySQL', 'Redis', 'Oracle']","['补充医疗保险', '节日福利', '员工旅游', '夜班补助', '零食下午茶', '法定节假日三薪', '节假日加班费', '年终奖', '免费班车', '加班补助', '定期体检', '带薪年假', '交通补助', '保底工资', '绩效奖金', '股票期权', '意外险', '企业年金', '团建聚餐', '五险一金']"
python开发工程师（不加班/氛围好/不内卷）,本科,3-5年,华为,成都,,,"['Python', 'PyTorch', 'PostgreSQL', 'Linux开发/部署经验', '爬虫经验']","['绩效奖金', '年终奖', '保底工资', '定期体检', '夜班补助', '五险一金', '股票期权', '零食下午茶', '节假日加班费', '法定节假日三薪', '交通补助', '企业年金', '免费班车', '团建聚餐', '加班补助', '补充医疗保险', '带薪年假', '员工旅游', '意外险', '节日福利']"
python编程老师,本科,1-3年,四川凡绘科技文化,成都,,,"['Django', 'PostgreSQL', 'AI', '教育培训', '课程设计', 'Python']","['工龄奖', '五险一金', '保底工资', '底薪加提成', '绩效奖金']"
Python服务器主程,本科,3-5年,IFUN,成都,武侯区,新会展中心,"['Java', 'C++', 'python', 'C', 'MySQL', 'Redis', 'Tornado', '架构设计经验', 'Linux开发/部署经验', '游戏开发', 'Python']","['节日福利', '五险一金', '生日福利', '包早餐', '餐补', '交通补助', '全勤奖', '带薪年假']"
Python开发工程师（AI方向）,本科,3-5年,松赞绿谷,成都,青羊区,天府广场,"['Python', 'Django', 'PyTorch', 'TensorFlow', 'Spark', 'Linux开发/部署经验', 'LLM', 'Al Agent']","['五险一金', '包住', '年终奖', '定期体检', '生日福利', '零食下午茶', '节日福利', '意外险', '餐补', '绩效奖金', '团建聚餐', '免费工装', '员工旅游', '宿舍有空调', '带薪年假', '包吃', '有无线网']"
后端工程师 - Python,学历不限,经验不限,塔万科技,成都,武侯区,中和,"['Python', 'Flask', 'Docker', 'PyTorch', 'Redis', 'PostgreSQL', '架构设计经验', '微服务经验', '机器学习经验']","['五险一金', '定期体检', '带薪年假', '餐补', '节日福利', '软件补贴', '生日福利', '年终奖', '设备补贴', '团建聚餐', '绩效奖金', '零食下午茶']"
软件开发 (C/C++/Java/Python/JS...Go开发,本科,1-3年,上海华为技术有限公司,成都,郫都区,红光镇,"['C++', 'Python', 'Java', 'Django', 'PyTorch', 'Tornado', 'MongoDB', '云计算经验', '分布式经验', 'Linux开发/部署经验']","['生日福利', '节假日加班费', '节日福利', '免费班车', '保底工资', '意外险', '员工旅游', '带薪年假', '法定节假日三薪', '零食下午茶', '绩效奖金', '股票期权', '加班补助', '五险一金', '年终奖', '定期体检', '有无线网', '团建聚餐', '补充医疗保险']"
初级python开发工程师,大专,1-3年,猫拖商贸,成都,金牛区,五块石,"['Scrapy', '爬虫经验', 'Django', 'Pandas', 'MySQL', 'Selenium', '架构设计经验', 'Python']","['底薪加提成', '绩效奖金', '五险一金']"
Python,学历不限,经验不限,元智谷,成都,金牛区,抚琴,"['Python', 'Java', 'C/C++']",[]
python工程师,本科,3-5年,四川蔚蓝仓颉科技,成都,武侯区,成都高新区,"['Python', 'PyTorch', 'MySQL', 'MongoDB', '架构设计经验', '爬虫经验', '机器学习经验', 'AI']","['生日福利', '节日福利', '五险一金', '年终奖', '餐补', '带薪年假', '团建聚餐', '定期体检', '员工旅游']"
python开发工程师,大专,1-3年,四川盈播网络科技有限公司,成都,武侯区,中和,"['Python', 'PyTorch', 'Hadoop', '图像处理']","['绩效奖金', '节日福利', '高温补贴', '全勤奖', '带薪年假', '五险一金', '法定节假日三薪', '团建聚餐', '生日福利']"
python爬虫,本科,3-5年,行展软件,成都,武侯区,中和,"['Scrapy', '爬虫经验', 'charles', 'Headless', 'requests', 'fiddler', 'Python']","['定期体检', '节日福利', '五险一金', '补充医疗保险']"
python实习生,本科,,佳发教育,成都,武侯区,金花,"['Python', 'Django', 'Tornado', 'Flask', 'MySQL', 'Redis']","['交通补助', '零食下午茶', '股票期权', '年终奖', '带薪年假', '节日福利', '通讯补贴', '五险一金', '员工旅游', '定期体检']"
AI视觉（python）工程师,本科,1-3年,三合盛,成都,双流区,华阳,"['Linux开发/部署经验', 'Python']","['节日福利', '绩效奖金', '零食下午茶', '团建聚餐', '底薪加提成', '五险一金']"
Python在线实习,本科,1年以内,天开智能,成都,武侯区,红牌楼,"['Python', 'Flask', 'Numpy', 'Docker', 'PyTorch', 'TensorFlow', 'Redis', 'Linux开发/部署经验', '接受实习/在校生投递']",[]
python实习生,本科,,成都海山云创科技,成都,武侯区,科华北路,"['Python', 'Flask', 'Numpy', 'Pandas', 'MySQL', 'Redis']","['零食下午茶', '五险一金', '带薪年假', '定期体检']"
资深python开发工程师,本科,5-10年,某大型计算机软件公司,成都,,,"['Python', 'Django', 'Flask', 'MySQL', '架构设计经验', '量化交易开发经验', '云计算经验']","['补充医疗保险', '通讯补贴', '节日福利', '年终奖', '带薪年假', '定期体检', '五险一金', '零食下午茶']"
python（外企+一周居家2天+长期稳定）,本科,3-5年,纬创软件,成都,武侯区,中和,"['Python', 'Java', 'Pandas', 'Docker', 'Flask', 'Django', 'Kubernetes', 'Oracle', 'MySQL', 'Linux开发/部署经验', '金融保险']","['节日福利', '团建聚餐', '零食下午茶', '员工旅游', '带薪年假', '定期体检', '补充医疗保险', '五险一金']"
游戏中台/运维开发（Python/react）,大专,3-5年,水熊互动,成都,武侯区,中和,"['react', '全栈', 'HTML', '有前端经验/技能', '爬虫经验', 'web', 'Django', 'MySQL', 'JavaScript', 'MongoDB', 'Linux开发/部署经验', 'Python', 'Flask']","['底薪加提成', '餐补', '奖金分红', '保底工资', '带薪年假', '全勤奖', '晋升机会', '节日福利', '股票期权', '团建聚餐', '包吃', '员工旅游', '年终奖', '生日福利', '绩效奖金', '加班补助', '定期体检', '五险一金', '夜班补助', '零食下午茶']"
居家办公-Python技术员,大专,1年以内,倍研通,成都,武侯区,中和,"['Python', 'Java', 'C++', 'C', 'PHP', 'Selenium', 'MySQL', '运维开发经验', '架构设计经验', '分布式经验']","['年终奖', '底薪加提成', '加班补助', '保底工资', '绩效奖金', '节日福利']"
Python实习工程师,本科,,欧督系统科技,成都,,,"['ERP', 'Linux', 'Django', 'MySQL', '初级软件工程师', '管理系统', 'CRM']","['定期体检', '员工旅游', '五险一金', '年终奖', '零食下午茶', '带薪年假', '餐补', '全勤奖', '节日福利']"
高级python开发工程师,本科,3-5年,中创五联,成都,双流区,华阳,"['Django', 'MySQL', '机器学习经验', '云计算经验', 'Spark', 'Python']","['交通补助', '五险一金', '节日福利', '定期体检', '通讯补贴', '带薪年假', '零食下午茶', '全勤奖']"
python开发工程师,本科,经验不限,某知名互联网上市公司,成都,,,['Python'],"['住房补贴', '零食下午茶', '定期体检', '带薪年假', '五险一金', '员工旅游', '补充医疗保险', '交通补助', '节日福利', '通讯补贴', '年终奖']"
AI模型python研发,大专,3-5年,智力,成都,武侯区,新会展中心,"['vllm', '团队管理经验', 'fastAPI', 'ollama', '云计算经验', 'Python', 'Flask']",[]
Python开发工程师 F3406,本科,3-5年,蜂鸟创新,成都,武侯区,中和,"['Python', 'Django', 'Flask', 'Docker', 'MySQL', 'PostgreSQL', 'Redis', 'Home Assistant']","['五险一金', '节日福利', '带薪年假', '餐补', '年终奖', '工作居住证', '零食下午茶']"
python开发（AI大模型）,本科,1-3年,成都九号诶艾科技,成都,武侯区,中和,"['机器学习经验', '接受无前端经验/技能', 'Kafka', '不限', 'PyTorch', 'git', 'Docker', 'MySQL', 'AI大模型', '架构设计经验', 'Linux开发/部署经验', 'Python', '项目开发']","['全勤奖', '绩效奖金', '年终奖', '五险一金', '有无线网']"
【成都】Python数据开发实习生,本科,,仲阳天王星,成都,武侯区,紫荆,"['Python', 'Pandas', 'Numpy', 'MongoDB', '数据开发', 'Linux环境', 'matplotlib']","['定期体检', '生日福利', '团建聚餐', '员工旅游', '节日福利', '带薪年假', '绩效奖金', '零食下午茶', '保底工资', '五险一金', '包吃']"
python数据工程师,本科,1-3年,大地量子,成都,武侯区,中和,"['Python', 'Numpy', 'Pandas', 'HBase', 'Spark', 'Hive', 'Linux开发/部署经验', '分布式经验', '微服务经验', '机器学习经验']","['五险一金', '股票期权', '节日福利', '年终奖', '定期体检', '补充医疗保险', '带薪年假', '苹果产品折扣', '零食下午茶', '员工旅游']"
Python开发,大专,3-5年,辰驰软件,成都,郫都区,郫筒,"['PyTorch', 'Pandas', 'MySQL', '机器学习经验', '机器学习算法', 'Numpy', 'Python']","['带薪年假', '生日福利', '零食下午茶', '绩效奖金', '员工旅游', '年终奖', '五险一金', '节日福利', '团建聚餐']"
python,本科,3-5年,智算账,成都,锦江区,红星路,['Python'],"['年终奖', '五险一金']"
python后端开发工程师（成都）,本科,3-5年,卓世科技,成都,武侯区,成都高新区,['python后端开发工程师（成都）'],"['生日福利', '通讯补贴', '零食下午茶', '底薪加提成', '免费工装', '定期培训', '补充医疗保险', '餐补', '股票期权', '绩效奖金', '节日福利', '带薪年假', '免费班车', '定期团建', '五险一金', '团建聚餐', '工龄奖', '定期体检', '员工生日会', '年终奖']"
财税自动化Python开发工程师（RPA方向）,本科,3-5年,元星空企业管理,成都,锦江区,红星路,['Python'],"['带薪年假', '工龄奖', '节日福利', '保底工资', '节假日加班费', '高温补贴', '团建聚餐', '零食下午茶', '交通补助', '绩效奖金', '补充医疗保险', '免费工装', '生日福利', '底薪加提成', '有无线网', '员工旅游', '全勤奖', '年终奖', '五险一金']"
python高级开发工程师,本科,3-5年,花千古商贸,成都,金牛区,沙湾,"['数据开发', '机器学习/算法工程', '服务端开发经验', 'Django', 'MySQL', '全栈开发经验', '后端', '计算机相关专业', 'Python']","['定期体检', '五险一金']"
全栈开发工程师（3年以上/python）,大专,3-5年,成都优卡同创科技,成都,武侯区,石羊场,"['全栈无侧重', 'React', 'JavaScript', 'HTML', 'CSS', 'Python', 'Node.js', 'Django/Flask', '计算机相关专业', '全栈项目经验', '五险一金']","['意外险', '带薪年假', '绩效奖金']"
Python,大专,1-3年,腾讯,成都,武侯区,中和,"['MySQL', 'Linux开发/部署经验', 'Python']","['股票期权', '员工旅游', '零食下午茶', '通讯补贴', '免费早晚餐', '补充医疗保险', '团建聚餐', '免费班车', 'Q 米', '包吃', '年终奖', '公仔周边活动', '住房补贴', '免费健身房', '带薪年假', '餐补', '五险一金', '定期体检', '交通补助', '节日福利']"
人工智能python讲师,学历不限,1-3年,山西春风里教育科技,成都,武侯区,中和,"['Python', '架构设计经验']","['有无线网', '团建聚餐', '底薪加提成']"
python开发（懂Java）,大专,1-3年,卓越际联科技有限公司,成都,武侯区,中和,"['Java', '爬虫经验', 'PyTorch', 'Django', 'Python', 'Flask']",['五险一金']
Python 开发工程师,大专,3-5年,金字塔教育咨询,成都,锦江区,红星路,"['Java', 'Docker', 'Django', 'Redis', 'MongoDB', '架构设计经验', 'Python', 'Flask']","['底薪加提成', '五险一金', '零食下午茶', '有无线网', '保底工资', '节日福利', '带薪年假']"
高级python工程师,大专,3-5年,橙溪,成都,青羊区,黄田坝,"['Python', 'MySQL', 'Linux开发/部署经验']",['五险一金']
Python创始团队工程师,本科,经验不限,恒春致远,成都,武侯区,中和,"['Python', 'Django', '其他', '架构设计经验', 'Qt']",[]
Python开发工程师-成都,本科,5-10年,智通云联,成都,成华区,驷马桥,"['Python', 'Django', 'Flask', 'PostgreSQL', 'Oracle']","['节日福利', '补充医疗保险', '年终奖', '五险一金', '团建', '定期体检', '带薪年假', '餐补']"
python后端开发工程师,本科,1-3年,京雄集团,成都,,,"['Python', 'Docker', 'MySQL', 'Oracle', 'FastAPI']","['股票期权', '定期体检', '餐补', '节日福利', '带薪年假', '五险一金', '通讯补贴', '包吃', '员工旅游']"
Python工程师,本科,3-5年,海势科技,成都,武侯区,新会展中心,"['C++', 'Django', 'MySQL', 'Redis', 'Spark', '架构设计经验', 'Linux开发/部署经验', '有前端经验/技能', 'Python', 'Flask', 'HBase']","['住房补贴', '零食下午茶', '加班补助', '年终奖', '节日福利', '员工旅游', '带薪年假', '餐补', '五险一金', '定期体检']"
Python 开发,学历不限,经验不限,四川紫气东来科技,成都,双流区,华阳,"['PyTorch', 'Docker', '机器学习经验', 'MySQL', 'MongoDB']","['年终奖', '五险一金', '绩效奖金']"
python开发,大专,1-3年,云中云科技,成都,锦江区,牛市口,"['PyTorch', 'Django', 'Pandas', 'MySQL', 'Redis', 'Spark', 'Linux开发/部署经验', 'Numpy', 'Python']",[]
远程python后端开发,本科,3-5年,EditorAi,成都,武侯区,紫荆,"['Python', 'Django', 'Flask', 'Docker', 'MongoDB']",[]
python后端开发工程师,本科,1-3年,西吾智创,成都,青羊区,东坡,"['Python', 'Django', 'Flask', 'Docker', 'MySQL', 'Oracle', '团队管理经验', '架构设计经验', 'Linux开发/部署经验', '机器学习经验']","['五险一金', '团建聚餐', '保底工资', '年终奖', '包住', '底薪加提成']"
python工程师,本科,3-5年,成都智学易科技,成都,双流区,华阳,"['Django', 'MySQL', 'Python']","['工龄奖', '员工旅游', '五险一金', '绩效奖金', '交通补助', '餐补', '通讯补贴', '带薪年假']"
python 后端,大专,1-3年,成都蓉联高科,成都,郫都区,犀浦,"['Django', 'Pandas', 'MySQL', 'Python', 'Flask']","['带薪年假', '五险一金', '年终奖', '包吃']"
python实习生,本科,,中国航天科工,成都,金牛区,茶店子,"['后端', '计算机相关专业', 'Python']","['六险二金', '团建聚餐', '高温补贴', '劳保福利', '全勤奖', '绩效奖金', '定期体检', '高温补贴', '免费工装', '生日福利', '员工旅游', '带薪年假', '交通补助', '餐补', '企业年金', '节日福利', '补充医疗保险', '通讯补贴', '年终奖', '五险一金']"
Python,本科,3-5年,龙渊网络科技有限公司,成都,武侯区,复城国际广场,"['Python', '全栈开发经验']","['节日福利', '零食下午茶', '带薪年假', '股票期权', '绩效奖金', '定期体检', '五险一金']"
Python 数据挖掘技术专家,本科,3-5年,上海科诗辰传媒公司,成都,,,"['Python', '大数据处理经验', '自然语言处理经验', '数学/统计相关专业', '计算机相关专业']",[]
python,本科,3-5年,新知地,成都,武侯区,双楠,"['Python', 'PyTorch', 'MySQL', 'PostgreSQL']","['五险一金', '股票期权', '节日福利']"
python开发实习生,本科,,成都允熙创璟科技,成都,新都区,西南石油大学,"['Python', '机器学习经验']",[]
python开发,本科,在校/应届,成都市琦麟融智探...,成都,青羊区,天府广场,"['微服务经验', 'Django', 'Pandas', 'MySQL', 'Hadoop', 'Spark', 'Linux开发/部署经验', 'Python', 'Flask']","['团建聚餐', '零食下午茶', '包吃', '绩效奖金', '五险一金']"
Python开发,本科,经验不限,鑫燃科技,成都,,,"['python', 'Linux开发/部署经验', 'Python']","['夜班补助', '加班补助', '年终奖', '五险一金']"
Python,大专,3-5年,泉州加推,成都,双流区,华阳,"['Django', 'MySQL', 'Python']","['全勤奖', '员工团建', '带薪年假', '节日福利', '年终奖', '团队氛围好', '五险', '员工旅游']"
Python 教研实习生,本科,,西瓜创客,成都,双流区,华阳,"['云计算经验', 'Python']","['零食下午茶', '带薪年假', '团建聚餐', '绩效奖金', '五险一金']"
Python后端开发工程师,本科,,北京灵耘致新科技,成都,金牛区,人民北路,"['Nginx', 'Docker', 'Elasticsearch', 'MySQL', '机器学习经验', '运维开发经验', 'Redis', 'Linux开发/部署经验', 'Python']","['团建聚餐', '餐补', '五险一金', '带薪年假', '绩效奖金', '保底工资']"
python开发工程师,本科,经验不限,阿凯思,成都,金牛区,西南交大,"['硬件项目管理经验', '通信相关专业', '电子电气/自动化相关专业', '智能硬件/可穿戴设备', '计算机相关专业', 'Python']","['年终奖', '员工旅游', '五险一金', '节日福利', '通讯补贴', '零食下午茶']"
Python开发实习生（AI Agent方向）,大专,,鸿翼股份,成都,武侯区,中和,"['Python', 'Flask']","['带薪年假', '定期体检', '员工旅游', '五险一金', '全勤奖', '交通补助', '零食下午茶']"
python后端开发工程师,大专,1-3年,数联信,成都,武侯区,紫荆,"['Python', 'Django', 'Flask', 'Pandas', 'Docker', 'MySQL', 'Redis', 'Linux开发/部署经验', '爬虫经验']","['生日福利', '有无线网', '法定节假日三薪', '餐补', '节日福利', '年终奖', '五险一金', '带薪年假', '工龄奖']"
python开发,本科,经验不限,万网科技,成都,武侯区,新会展中心,"['Python', 'Java', 'Django', 'MySQL']","['团建活动', '定期体检', '工龄工资', '公司领导', '节日福利', '加班补助', '带薪年假', '氛围', '年终奖', '补充医疗保险', '项目奖金', '五险一金', '餐补']"
Python Windows桌面应用高级开发工程师,大专,3-5年,奥里诺科,成都,武侯区,新会展中心,['Python'],"['绩效奖金', '工龄奖', '底薪加提成', '节日福利', '股票期权', '生日福利', '五险一金', '保底工资']"
python后端开发工程师,本科,3-5年,云检韵祥医学,成都,武侯区,红牌楼,"['Python', 'MySQL', 'Linux开发/部署经验', '分布式经验', '微服务经验', '爬虫经验', '架构设计经验', 'LongChain']","['五险一金', '年终奖', '餐补', '带薪年假', '定期体检']"
python后端开发工程师,本科,5-10年,四川妙呼吸科技,成都,武侯区,红牌楼,"['Golang', 'C++', 'Scrapy', '团队管理经验', '分布式经验', 'Redis', 'Numpy', 'HBase', 'PyTorch', '微服务经验', 'Django', 'MySQL', 'PHP', 'MongoDB', '架构设计经验', 'Oracle', 'Python', 'Flask']",[]
python后端开发工程师,大专,1-3年,云维斯,成都,武侯区,金融城,"['Python', 'Docker', 'Django', 'Pandas', 'Flask', 'MySQL', 'Redis', '爬虫经验', 'Linux开发/部署经验']",[]
高级软件开发工程师JAVA/C/Python--,大专,3-5年,睿亭信息咨询,成都,锦江区,牛市口,"['Java', 'C', 'C++', 'C#', 'Python', '不接受居家办公']","['加班补助', '年终奖', '保底工资', '绩效奖金', '生日福利']"
Python后端开发（Django）,本科,1-3年,MAKE1,成都,青羊区,黄田坝,"['数据开发', '服务端开发经验', '机器学习/算法工程', 'Django', 'Pandas', '全栈开发经验', 'MySQL', '计算机相关专业', '后端', 'Linux开发/部署经验', 'Python']","['五险一金', '带薪年假', '餐补', '年终奖']"
python开发,大专,3-5年,绿和,成都,武侯区,紫荆,"['爬虫经验', '自动化渗透', '漏洞', 'Django', '渗透测试', 'Redis', '网络安全', 'Numpy', '量化交易开发经验', '源代码审计', 'Python', 'Flask']","['带薪年假', '团建聚餐', '定期体检', '零食下午茶', '年终奖', '加班补助', '生日福利', '节日福利', '五险一金']"
云平台Python开发工程师-编号040,本科,3-5年,博彦科技承德有限公司,成都,武侯区,中和,"['Docker', 'MySQL', 'Python']","['定期体检', '节日福利', '加班补助', '带薪年假', '五险一金', '零食下午茶']"
Python,本科,经验不限,华为成研所,成都,郫都区,高新西,"['Linux', '大数据', 'Python', 'AI']","['五险一金', '员工旅游', '加班补助', '定期体检', '股票期权', '零食下午茶', '年终奖', '节日福利']"
Python web 工程师,本科,经验不限,深地领航,成都,新都区,新都城区,"['Django', 'MySQL', 'Redis', 'Python', 'Flask']","['加班补助', '定期体检', '节日福利', '包吃', '住房补贴', '带薪年假', '团建聚餐', '五险一金', '零食下午茶']"
Python,本科,1-3年,嘉矿,成都,成华区,驷马桥,"['分布式经验', 'Elasticsearch', '微服务经验', 'MySQL', 'Redis', '云计算经验', '架构设计经验', 'Python', 'Flask']",[]
python工程师,大专,3-5年,飞榴软件,成都,武侯区,银泰城,"['Golang', 'Nginx', '分布式经验', 'Docker', '微服务经验', 'Django', 'PostgreSQL', 'MySQL', '架构设计经验', 'Python']","['节日福利', '年终奖', '员工旅游', '定期体检', '带薪年假', '五险一金', '股票期权']"
Python开发实习生,本科,,成都简乐互动,成都,武侯区,新会展中心,"['MySQL', 'Python', 'Flask']","['五险一金', '定期体检', '带薪年假', '车补', '节日福利', '员工旅游', '餐补', '全勤奖', '生日会']"
python开发工程师,大专,3-5年,邦飞科技,成都,金牛区,营门口,['Python'],"['年终奖', '带薪年假', '补充医疗保险', '节日福利', '意外险', '定期体检', '加班补助', '员工旅游', '五险一金']"
问卷代填技术人员（懂python）,本科,经验不限,成都杰数大数据科技,成都,武侯区,红牌楼,"['Python', 'python']","['生日福利', '节日福利', '团建聚餐', '零食下午茶', '节假日加班费', '底薪加提成', '保底工资', '补充医疗保险']"
Python,本科,1-3年,格瑞迪斯,成都,成华区,驷马桥,[],[]
python开发工程师 / 实习生,本科,,联课教育,成都,武侯区,金融城,"['Django', 'Pandas', 'MySQL', 'Python', 'Flask']","['餐补', '补充医疗保险', '零食下午茶', '节日福利', '意外险', '五险一金', '弹性工作时间', '带薪年假', '工龄奖', '年终奖']"
Python,本科,3-5年,鹏开信息,成都,锦江区,琉璃场,"['分布式经验', 'Django', 'PostgreSQL', 'MySQL', 'Kafka', 'Redis', 'Python', 'Flask']","['带薪年假', '员工旅游', '定期体检', '加班补助', '零食下午茶', '五险一金', '补充医疗保险', '节日福利', '交通补助', '年终奖']"
Python开发（合同13薪+全额公积金交+双休）,本科,3-5年,中软国际,成都,锦江区,琉璃场,"['Django', 'Oracle', 'Python', 'Flask']","['员工旅游', '加班补助', '零食下午茶', '餐补', '年终奖', '定期体检', '节日福利', '免费班车', '带薪年假', '五险一金']"
Python后端工程师（急聘）,本科,3-5年,善思开悟,成都,武侯区,中和,"['Django', 'Python']","['带薪年假', '股票期权', '年终奖', '五险一金']"
python,本科,1-3年,四川几点钟科技,成都,双流区,白家,"['Python', 'Django', 'Flask', 'Tornado', 'MySQL']",[]
C  python scratch 图形化编程,本科,经验不限,四川省成都市温江...,成都,温江区,珠江国际,"['Java', 'python scratch']",[]
python工程师,本科,1-3年,四川海纳亚洲贸易,成都,武侯区,桂溪,"['Python', 'Numpy', 'Pandas', 'Docker', 'PyTorch', 'PostgreSQL', 'MySQL']",['五险']
python实习生,本科,,成都花猫智绘信息科技,成都,武侯区,中和,"['MySQL', 'Python', 'TensorFlow']","['企业年金', '五险一金', '有无线网', '餐补', '节日福利', '团建聚餐', '带薪年假', '绩效奖金', '底薪加提成', '节假日加班费', '员工旅游', '保底工资', '交通补助', '年终奖', '定期体检', '股票期权']"
python工程师,本科,3-5年,同方鼎欣,成都,郫都区,红光镇,['Python'],"['补充医疗保险', '五险一金', '五险一金', '带薪年假', '节日福利', '定期体检']"
Python,学历不限,经验不限,成都爱迪森通用科技,成都,郫都区,犀浦,"['Python', 'Flask', 'MySQL', '架构设计经验']","['绩效奖金', '五险一金', '保底工资', '年终奖', '包吃', '底薪加提成', '带薪年假']"
python高级开发工程师,大专,1-3年,成都古滕堡科技,成都,,,"['Python', 'Selenium', 'MySQL', 'PostgreSQL', 'Linux开发/部署经验']",[]
python研发工程师,本科,5-10年,成都数智边界科技,成都,武侯区,红牌楼,"['爬虫经验', '分布式经验', 'PyTorch', 'Django', '机器学习经验', 'MySQL', 'Tornado', 'Spark', 'Linux开发/部署经验', 'Python', 'Flask', 'HBase']",['五险一金']
python开发,本科,经验不限,北京航宇荣康,成都,双流区,白家,"['Python', 'Flask', 'MySQL', 'PostgreSQL']","['年终奖', '加班补助', '节日福利', '保底工资', '零食下午茶', '夜班补助', '团建聚餐', '员工旅游', '餐补', '带薪年假', '绩效奖金', '五险一金', '定期体检']"
python后端开发工程师,本科,1-3年,新格尔,成都,,,"['Django', 'MySQL', 'Python', 'Flask']","['通讯补贴', '年终奖', '五险一金', '带薪年假', '团建聚餐', '意外险', '定期体检', '节日福利', '有无线网', '节假日加班费', '零食下午茶', '全勤奖', '生日福利', '绩效奖金', '员工旅游']"
兼职matlab/python/c++/java开发工程师,大专,1-3年,四川海锐达科技,成都,成华区,驷马桥,[],"['绩效奖金', '工龄奖', '底薪加提成', '企业年金', '节假日加班费', '法定节假日三薪', '全勤奖', '生日福利', '补充医疗保险', '定期体检', '年终奖', '意外险', '带薪年假', '加班补助', '交通补助', '员工旅游', '夜班补助', '股票期权', '保底工资', '五险一金']"
python讲师,本科,1-3年,盛元光智科技,成都,武侯区,紫荆,"['Python', 'Golang', 'C++', 'Django', 'Flask', 'Tornado', 'MySQL', 'Redis', 'Hadoop', '架构设计经验', '分布式经验', '微服务经验']",[]
Python + React 前端工程师招聘,学历不限,3-5年,成都费特瑞斯科技,成都,成华区,建设路,"['Python', 'PyTorch', 'TensorFlow', 'MySQL', 'Linux开发/部署经验', '运维开发经验']","['零食下午茶', '五险一金', '绩效奖金', '有无线网']"
python高级开发工程师,本科,经验不限,某大型人力资源服务公司,成都,,,['Python'],[]
